year,year_code,country,country_code,gdp_current,agriculture,exports,final_exp,gdp_growth,gdp_per_capita,gov_exp,gni_growth_capita,gni_growth,gross_capital_formation,gross_fixed_capital_formation,Households and NPISHs Final consumption expenditure (annual % growth) [NE.CON.PRVT.KD.ZG],Households and NPISHs Final consumption expenditure per capita growth (annual %) [NE.CON.PRVT.PC.KD.ZG],imports,industry,manufacturing,services
1960,YR1960,Bermuda,BMU,84466654.08,,,,,,,,,,,,,,,,
1960,YR1960,Canada,CAN,40461721693,,,,,,,,,,,,,,,,
1960,YR1960,United States,USA,543300000000,,,,,,,,,,,,,,,,
1961,YR1961,Bermuda,BMU,89249986.7,,,,4.679999999,2.149274724,,,,,,,,,,,
1961,YR1961,Canada,CAN,40934952064,,,,3.163291684,1.121346226,,,,,,,,,,,
1961,YR1961,United States,USA,563300000000,,,,2.3,0.6181211927,,,,,,,,,,,
1962,YR1962,Bermuda,BMU,94149985.97,,,,4.469999999,2.003969956,,,,,,,,,,,
1962,YR1962,Canada,CAN,42227447632,,4.63532505,5.128105339,7.425384774,5.445858236,5.082710682,,,,4.964810379,,,2.252394605,,,
1962,YR1962,United States,USA,605100000000,,,,6.1,4.480669354,,,,,,,,,,,
1963,YR1963,Bermuda,BMU,96366652.3,,,,1.07,-1.260754717,,,,,,,,,,,
1963,YR1963,Canada,CAN,45029988561,,8.807474357,4.340861451,5.349546457,3.405212917,4.881756396,,,,3.707578426,,,1.765311377,,,
1963,YR1963,United States,USA,638600000000,,,,4.4,2.908271948,,,,,,,,,,,
1964,YR1964,Bermuda,BMU,107566650.6,,,,11.11,8.383374234,,,,,,,,,,,
1964,YR1964,Canada,CAN,49377522897,,13.58031841,5.481661158,6.642894415,4.650755482,5.978424706,,,,13.10641022,,,12.61315916,,,
1964,YR1964,United States,USA,685800000000,,,,5.8,4.340548963,,,,,,,,,,,
1965,YR1965,Bermuda,BMU,114339049,,,,4.76,2.250778443,,,,,,,,,,,
1965,YR1965,Canada,CAN,54515179581,,4.503677942,5.509283013,6.316714176,4.409518317,4.484667123,,,,10.84985345,,,13.3605784,,,
1965,YR1965,United States,USA,743700000000,,,,6.4,5.07809761,,,,,,,,,,,
1966,YR1966,Bermuda,BMU,134173373.8,,,,14.36363636,12.34545455,,,,,,,,,,,
1966,YR1966,Canada,CAN,61088384037,,13.13034427,5.798021252,6.704991764,4.735675775,8.50704975,,,,11.04352063,,,13.29332068,,,
1966,YR1966,United States,USA,815000000000,,,,6.5,5.277113858,,,,,,,,,,,
1967,YR1967,Bermuda,BMU,155102984.6,,,,13.27503975,11.0966736,,,,,,,,,,,
1967,YR1967,Canada,CAN,65668655501,,10.7327097,4.84916715,3.091205962,1.25281683,8.357418633,,,,0.09002179021,,,5.481248505,,,
1967,YR1967,United States,USA,861700000000,,,,2.5,1.389951286,,,,,,,,,,,
1968,YR1968,Bermuda,BMU,150000000,,,,2.105263158,0.1787487591,,,,,,,,,,,
1968,YR1968,Canada,CAN,71829810520,,12.29431623,4.96217111,4.995666605,3.315250035,6.409049481,,,,0.8599226533,,,10.18067296,,,
1968,YR1968,United States,USA,942500000000,,,,4.8,3.758819368,,,,,,,,,,,
1969,YR1969,Bermuda,BMU,164900000,,,,3.436426114,1.520936741,,,,,,,,,,,
1969,YR1969,Canada,CAN,79148411662,,7.988767378,4.848047374,5.045456367,3.626733255,4.827271449,,,,4.797999027,,,13.33042474,,,
1969,YR1969,United States,USA,1019900000000,,,,3.1,2.097369706,,,,,,,,,,,
1970,YR1970,Bermuda,BMU,186300000,,,,6.31229236,4.37934159,,,,,,,,,,,
1970,YR1970,Canada,CAN,87896095320,,9.173114667,3.61663443,,,7.920559812,,,,0.5603579346,,,-1.539830169,,,
1970,YR1970,United States,USA,1073303000000,,,,-0.2834912632,-1.438450533,,,,,,,,,,,
1971,YR1971,Bermuda,BMU,211100000,,,,3.437500001,4.195283883,,,,,,,,,,,
