year,year_code,country,country_code,gdp_current,agriculture,exports,final_exp,gdp_growth,gdp_per_capita,gov_exp,gni_growth_capita,gni_growth,gross_capital_formation,gross_fixed_capital_formation,Households and NPISHs Final consumption expenditure (annual % growth) [NE.CON.PRVT.KD.ZG],Households and NPISHs Final consumption expenditure per capita growth (annual %) [NE.CON.PRVT.PC.KD.ZG],imports,industry,manufacturing,services
1960,YR1960,Algeria,DZA,2723593385,,,,,,,,,,,,,,,,
1960,YR1960,Bahrain,BHR,,,,,,,,,,,,,,,,,
1960,YR1960,Djibouti,DJI,,,,,,,,,,,,,,,,,
1960,YR1960,"Egypt, Arab Rep.",EGY,,,,,,,,,,,,,,,,,
1960,YR1960,"Iran, Islamic Rep.",IRN,4199134390,,,,,,,,,,,,,,,,
1960,YR1960,Iraq,IRQ,1684121535,,,,,,,,,,,,,,,,
1960,YR1960,Israel,ISR,2598500000,,,,,,,,,,,,,,,,
1960,YR1960,Jordan,JOR,,,,,,,,,,,,,,,,,
1960,YR1960,Kuwait,KWT,,,,,,,,,,,,,,,,,
1960,YR1960,Lebanon,LBN,,,,,,,,,,,,,,,,,
1960,YR1960,Libya,LBY,,,,,,,,,,,,,,,,,
1960,YR1960,Malta,MLT,,,,,,,,,,,,,,,,,
1960,YR1960,Morocco,MAR,2037150716,,,,,,,,,,,,,,,,
1960,YR1960,Oman,OMN,,,,,,,,,,,,,,,,,
1960,YR1960,Qatar,QAT,,,,,,,,,,,,,,,,,
1960,YR1960,Saudi Arabia,SAU,,,,,,,,,,,,,,,,,
1960,YR1960,Syrian Arab Republic,SYR,857704413.4,,,,,,,,,,,,,,,,
1960,YR1960,Tunisia,TUN,,,,,,,,,,,,,,,,,
1960,YR1960,United Arab Emirates,ARE,,,,,,,,,,,,,,,,,
1960,YR1960,West Bank and Gaza,PSE,,,,,,,,,,,,,,,,,
1960,YR1960,"Yemen, Rep.",YEM,,,,,,,,,,,,,,,,,
1961,YR1961,Algeria,DZA,2434727330,,0,-24.7999979,-13.60544132,-15.12721831,-26.08695401,-10.40133229,-11.97954731,0,,-24.05063298,-25.38842555,-13.63636664,,,
