country_code,long_name,income_group,region,lending_category,currency_unit,country
AFG,Islamic State of Afghanistan,Low income,South Asia,IDA,Afghan afghani,Afghanistan
ALB,Republic of Albania,Upper middle income,Europe & Central Asia,IBRD,Albanian lek,Albania
DZA,People's Democratic Republic of Algeria,Lower middle income,Middle East & North Africa,IBRD,Algerian dinar,Algeria
ASM,American Samoa,Upper middle income,East Asia & Pacific,,U.S. dollar,American Samoa
AND,Principality of Andorra,High income,Europe & Central Asia,,Euro,Andorra
AGO,People's Republic of Angola,Lower middle income,Sub-Saharan Africa,IBRD,Angolan kwanza,Angola
ATG,Antigua and Barbuda,High income,Latin America & Caribbean,IBRD,East Caribbean dollar,Antigua and Barbuda
ARG,Argentine Republic,Upper middle income,Latin America & Caribbean,IBRD,Argentine peso,Argentina
ARM,Republic of Armenia,Upper middle income,Europe & Central Asia,IBRD,Armenian dram,Armenia
ABW,Aruba,High income,Latin America & Caribbean,,Aruban florin,Aruba
AUS,Commonwealth of Australia,High income,East Asia & Pacific,,Australian dollar,Australia
AUT,Republic of Austria,High income,Europe & Central Asia,,Euro,Austria
AZE,Republic of Azerbaijan,Upper middle income,Europe & Central Asia,IBRD,New Azeri manat,Azerbaijan
BHS,Commonwealth of The Bahamas,High income,Latin America & Caribbean,,Bahamian dollar,The Bahamas
BHR,Kingdom of Bahrain,High income,Middle East & North Africa,,Bahraini dinar,Bahrain
BGD,People's Republic of Bangladesh,Lower middle income,South Asia,IDA,Bangladeshi taka,Bangladesh
BRB,Barbados,High income,Latin America & Caribbean,,Barbados dollar,Barbados
BLR,Republic of Belarus,Upper middle income,Europe & Central Asia,IBRD,Belarusian rubel,Belarus
BEL,Kingdom of Belgium,High income,Europe & Central Asia,,Euro,Belgium
BLZ,Belize,Lower middle income,Latin America & Caribbean,IBRD,Belize dollar,Belize
BEN,Republic of Benin,Lower middle income,Sub-Saharan Africa,IDA,West African CFA franc,Benin
BMU,The Bermudas,High income,North America,,Bermuda dollar,Bermuda
BTN,Kingdom of Bhutan,Lower middle income,South Asia,IDA,Bhutanese ngultrum,Bhutan
BOL,Plurinational State of Bolivia,Lower middle income,Latin America & Caribbean,IBRD,Bolivian Boliviano,Bolivia
BIH,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia,IBRD,Bosnia and Herzegovina convertible mark,Bosnia and Herzegovina
BWA,Republic of Botswana,Upper middle income,Sub-Saharan Africa,IBRD,Botswana pula,Botswana
BRA,Federative Republic of Brazil,Upper middle income,Latin America & Caribbean,IBRD,Brazilian real,Brazil
VGB,British Virgin Islands,High income,Latin America & Caribbean,,U.S. dollar,British Virgin Islands
BRN,Brunei Darussalam,High income,East Asia & Pacific,,Brunei dollar,Brunei
BGR,Republic of Bulgaria,Upper middle income,Europe & Central Asia,IBRD,Bulgarian lev,Bulgaria
BFA,Burkina Faso,Low income,Sub-Saharan Africa,IDA,West African CFA franc,Burkina Faso
BDI,Republic of Burundi,Low income,Sub-Saharan Africa,IDA,Burundi franc,Burundi
CPV,Republic of Cabo Verde,Lower middle income,Sub-Saharan Africa,Blend,Cabo Verde escudo,Cabo Verde
