year,crimes_against_person,sexual_offences_cimes,contact_related_crimes,property_related_crimes,other_serious_crimes,crime_detected_result_police_action
2011,615935,60539,125903,530624,528296,262726
2012,608724,60888,124691,558334,517252,296734
2013,611574,56680,123441,558228,510748,350403
2014,616973,53617,125789,553487,499698,356919
2015,623223,51895,124804,543524,479075,355926
2016,608321,49660,120730,540653,469276,390021
2017,601366,50108,115361,507975,438113,433966
2018,617210,52420,117172,495161,444447,339281
2019,621282,53293,112244,469224,426569,290176
2020,535217,46214,102269,369745,354566,177095
