year,year_code,country,country_code,gdp_current,agriculture,exports,final_exp,gdp_growth,gdp_per_capita,gov_exp,gni_growth_capita,gni_growth,gross_capital_formation,gross_fixed_capital_formation,Households and NPISHs Final consumption expenditure (annual % growth) [NE.CON.PRVT.KD.ZG],Households and NPISHs Final consumption expenditure per capita growth (annual %) [NE.CON.PRVT.PC.KD.ZG],imports,industry,manufacturing,services
1990,YR1990,Albania,ALB,2028553750,,,,-9.57564017,-11.1879053,,,,,,,,,,,
1990,YR1990,Andorra,AND,1029048482,,,,3.781387586,0.04232062459,,,,,,,,,,,
1990,YR1990,Armenia,ARM,2256838858,,,,,,,,,,,,,,,,
1990,YR1990,Austria,AUT,166463386179,7.622929039,8.572220451,3.70381027,4.345641399,3.553547647,2.110688062,4.510730793,3.717383837,5.632026318,5.49233727,4.234835937,3.443583315,7.980329813,6.240011346,6.413056309,4.032239055
1990,YR1990,Azerbaijan,AZE,8858006036,,,,,,,,,,,,,,,,
1990,YR1990,Belarus,BLR,21650000000,,,,,,,,,,,,,,,,
1990,YR1990,Belgium,BEL,205331747948,,4.573915401,2.127970294,3.137402316,2.830267975,-0.3867031672,3.28630264,2.978724887,7.670908076,8.580777109,3.174528252,2.867283354,4.868733293,,,
1990,YR1990,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,
1990,YR1990,Bulgaria,BGR,20632090909,-3.699012978,-71.35485564,5.71870957,-9.117377096,-7.463207654,5.792430717,,,,-33.55294283,5.696320277,7.620116241,-69.50361749,-12.50000002,,-6.058096216
1990,YR1990,Channel Islands,CHI,,,,,,,,,,,,,,,,,
1990,YR1990,Croatia,HRV,,,,,,,,,,,,,,,,,
1990,YR1990,Cyprus,CYP,5591130218,0.7639420784,6.682873098,10.97363778,7.403999507,5.139971416,17.20568959,7.51469674,5.248331304,-7.398779108,-2.778311164,8.952119271,6.655452337,5.721396923,5.001972243,4.029035344,9.969237033
1990,YR1990,Czechia,CZE,40728950705,,,,,,,,,,,,,,,,
1990,YR1990,Denmark,DNK,138247285816,5.71580441,6.526650802,0.03906543762,1.475244277,1.310525163,-1.540847307,1.180264849,1.016024559,-0.5367527131,-0.2424354474,0.8008731805,0.6372487363,2.375634744,-2.544773194,-1.69736482,3.995688413
1990,YR1990,Estonia,EST,,,,,,,,,,,,,,,,,
1990,YR1990,Faroe Islands,FRO,,,,,,,,,,,,,,,,,
1990,YR1990,Finland,FIN,141438345514,9.714615163,1.40465826,1.052791642,0.6702758443,0.2249099533,4.539518362,0.2324860209,-0.2109430854,-6.284324297,-3.576832444,-0.2936758198,-0.734777183,-0.3734310708,-0.511812162,-0.2647731376,1.975896011
1990,YR1990,France,FRA,1269179616914,6.781897918,4.145828479,2.769228894,2.923935081,2.430246965,3.212190545,2.889355447,2.395833197,4.270577814,4.608864052,2.599969468,2.107835296,5.042199336,4.03637491,3.614699022,2.632009706
1990,YR1990,Georgia,GEO,7753501868,,,,-14.7882259,-14.76515732,,,,,,,,,,,
1990,YR1990,Germany,DEU,1771671206876,,11.34874662,3.66932874,5.255006083,4.351639054,2.013068401,5.349318027,4.445141552,8.64770743,7.995906246,4.220143614,3.325658449,10.77395654,,,
1990,YR1990,Gibraltar,GIB,,,,,,,,,,,,,,,,,
1990,YR1990,Greece,GRC,97891092003,,-3.468767886,2.244061155,0,-1.052232898,0.5999979398,,,1.807054216,4.459111433,2.61902785,1.539236679,8.366083269,,,
1990,YR1990,Greenland,GRL,1018970365,,,,-11.71953298,-12.19586644,,,,,,,,,,,
1990,YR1990,Hungary,HUN,,,,,,,,,,,,,,,,,
1990,YR1990,Iceland,ISL,6468736356,,-0.0257105971,4.303503545,,,4.3512526,,,-0.4225424129,3.00981989,,,0.9908182325,,,
1990,YR1990,Ireland,IRL,49305632408,,8.729924035,2.332040303,8.466527516,8.375006277,5.420187886,,,23.77222181,13.40201986,1.413542374,1.327972261,5.08600531,,,
1990,YR1990,Isle of Man,IMN,,,,,4.186976822,2.484946053,,,,,,,,,,,
1990,YR1990,Italy,ITA,1181222653523,,6.195834599,2.119446615,1.985774943,1.900439827,2.346904487,1.305767572,1.221001443,4.636936114,4.326683805,2.044669,1.959284606,9.795099696,,,
1990,YR1990,Kazakhstan,KAZ,26932729103,,,,,,,,,,,,,,,,
1990,YR1990,Kosovo,XKX,,,,,,,,,,,,,,,,,
1990,YR1990,Kyrgyz Republic,KGZ,2675000000,1.370225364,,,5.702796633,3.688011591,,,,,,,,,-2.184287524,,40.85870244
1990,YR1990,Latvia,LVA,,,,,,,,,,,,,,,,,
1990,YR1990,Liechtenstein,LIE,1421466240,,,,2.252870969,0.8025260584,,,,,,,,,,,
1990,YR1990,Lithuania,LTU,,,,,,,,,,,,,,,,,
1990,YR1990,Luxembourg,LUX,12778792854,,5.58721882,4.474953228,5.319931127,4.009810209,6.676530922,6.516155779,5.191154496,5.248840641,3.374920316,3.777742888,2.486805926,4.998610901,,,
1990,YR1990,Moldova,MDA,,,,,,,,,,,,,,,,,
1990,YR1990,Monaco,MCO,2481316054,,,,2.643454171,1.793986433,,,,,,,,,,,
1990,YR1990,Montenegro,MNE,,,,,,,,,,,,,,,,,
1990,YR1990,Netherlands,NLD,318330511921,8.920334932,5.658577017,3.465280969,4.183222986,3.468277725,2.231536971,2.88656767,2.180520554,2.382516973,2.881605877,4.039477201,3.325518379,3.973987828,1.851577099,3.461103942,4.502687673
1990,YR1990,North Macedonia,MKD,4699646643,,,,,,,,,,,,,,,,
1990,YR1990,Norway,NOR,119791683308,4.776799678,8.555206144,1.790676327,1.932419827,1.582220916,4.484330909,1.772224532,1.422575989,-6.020961261,-10.31217604,0.6925368003,0.346597631,2.505690247,1.303076551,-1.176179274,2.212547555
1990,YR1990,Poland,POL,65977749037,,,,,,,,,,,,,,,,
1990,YR1990,Portugal,PRT,78713860217,,9.48812839,5.922083443,3.950522763,4.177328417,4.169644669,4.567672612,4.795824802,10.63941093,7.607178229,6.438833799,6.671068603,14.50799329,,,
1990,YR1990,Romania,ROU,38995454545,,,,,,,,,,,,,,,,
1990,YR1990,Russian Federation,RUS,516814274022,,,,-2.999995642,-3.162835973,,,,,,,,,,,
1990,YR1990,San Marino,SMR,,,,,,,,,,,,,,,,,
1990,YR1990,Serbia,SRB,,,,,,,,,,,,,,,,,
1990,YR1990,Slovak Republic,SVK,12747380650,,,,,,,,,,,,,,,,
1990,YR1990,Slovenia,SVN,,,,,,,,,,,,,,,,,
1990,YR1990,Spain,ESP,536558591250,,4.692345675,4.09605593,3.781393555,3.675767951,6.273385274,3.70658388,3.601034415,6.243854835,6.452029887,3.510500381,3.405150484,9.621256931,,,
1990,YR1990,Sweden,SWE,261846194499,5.401177547,2.308087411,0.4964838459,0.7546747687,-0.02075917552,2.742941052,-0.03915372155,-0.8084781571,-0.01141544149,0.1981004636,-0.6615275039,-1.42606199,1.130353099,-1.687547159,-1.90427397,2.145088622
1990,YR1990,Switzerland,CHE,265763573999,,1.961006541,1.878469793,3.47455211,2.417436703,3.305552306,,,13.88067653,5.356146672,1.589066018,0.5512130911,7.241045528,,,
1990,YR1990,Tajikistan,TJK,2631768953,-9.099991893,,,-0.5999996313,-3.416735992,,,,,,,,,1.299995795,3.899999026,2.200002006
1990,YR1990,Turkiye,TUR,150676291094,6.815536264,3.151840555,12.43220887,9.266146671,7.216741989,7.99917621,,,,15.87731104,13.10651959,10.98508457,33.10911263,6.589089197,9.680785989,10.42034735
1990,YR1990,Turkmenistan,TKM,3188097768,,,,35.38455811,31.78276097,-3.333333333,,,6.976744186,,0,,,,,
1990,YR1990,Ukraine,UKR,81393558423,,,,-6.345235128,-6.558927908,,,,,,,,,,,
1990,YR1990,United Kingdom,GBR,1093169389205,,5.28109757,1.264313431,0.7337555031,0.4330811572,2.192242891,0.5348914883,0.2348107201,-6.086435962,-2.21066116,0.9749732275,0.6735788849,0.5623012317,,,
1990,YR1990,Uzbekistan,UZB,13360607918,5.817737997,,,1.600000006,-0.4166336754,,,,,,,,,1.590198104,,-8.358968923
2000,YR2000,Albania,ALB,3480355258,6.695426768,38.88130026,4.365422362,6.946216592,7.630022439,-9.980736876,7.703330765,8.391977541,66.20444993,42.62533125,6.198222055,6.877245282,49.54039912,25.43213913,6.938227616,-1.372302672
2000,YR2000,Andorra,AND,1429049198,,,,3.528362361,2.83605354,,,,,,,,,,,
2000,YR2000,Armenia,ARM,1911563669,-1.099999992,18.75948212,7.711776111,5.900000003,7.153578185,4.095997346,5.819927563,7.072557897,-10.69015326,16.61790126,8.206826224,9.487711176,7.02325909,23.72355656,6.599999965,-6.134590714
2000,YR2000,Austria,AUT,197289625480,-3.598387302,13.52458428,2.337368532,3.375722147,3.12743665,0.2317864425,4.146305134,3.896168868,2.505189703,5.828588366,3.116431264,2.868768526,10.18626733,4.1273412,6.464756451,3.905914134
2000,YR2000,Azerbaijan,AZE,5272798391,19.58734491,22.98503553,20.34138728,11.09999914,10.19102927,10.84851442,6.780364916,5.906736331,-11.73965799,-7.826295148,21.74669584,,7.736877585,-13.23745704,-42.13279311,6.309435781
2000,YR2000,Belarus,BLR,12736856828,8.950853571,12.70000607,7.282137893,5.80000344,6.299636448,6.00001456,5.439606208,5.937537266,14.70001517,2.299979726,7.728109685,8.236848037,13.40000307,5.816849374,6.38012774,5.400232679
2000,YR2000,Belgium,BEL,236792460312,6.63039005,12.39693981,2.685427943,3.716679384,3.465452571,2.363830207,3.945277733,3.6934972,7.189729001,4.969181574,2.816865176,2.56781793,13.01550527,6.077177555,5.659733376,2.790049238
2000,YR2000,Bosnia and Herzegovina,BIH,5567405605,,,,12.76546946,12.05488255,,,,,,,,,,,
2000,YR2000,Bulgaria,BGR,13245834315,-10.97579984,-17.16072185,7.430017463,4.587224782,5.105055058,1.215814225,3.539552747,4.052195809,5.33178281,16.47925545,8.998532527,9.538203985,-9.656165178,11.21817002,,3.915223306
2000,YR2000,Channel Islands,CHI,6439403014,,,,5.826641097,5.466131638,,,,,,,,,,,
2000,YR2000,Croatia,HRV,21807856145,1.146876603,13.68490998,2.390832928,2.864066947,3.88377507,-3.014057143,3.131312841,4.153670216,-3.354987024,-1.742130835,4.537845272,5.574145831,7.13014983,4.538725923,6.56352422,1.195431608
2000,YR2000,Cyprus,CYP,9985844486,-2.479118026,8.770777057,5.698063564,5.965310315,4.844155984,-3.181648296,2.760619985,1.673376742,8.56385301,-1.040585047,8.022415988,6.879501964,9.37046678,-0.05949012442,-2.477751871,8.020038769
2000,YR2000,Czechia,CZE,61828166496,2.495171801,14.78107273,0.9142953955,4.001028635,4.293071465,-0.6400609313,,,10.87298956,7.534069894,1.522899249,1.807983302,14.35826361,4.660904995,9.461737823,4.174672971
2000,YR2000,Denmark,DNK,164158739098,7.080708,12.612938,1.234956026,3.746862595,3.400684546,2.932086533,2.511999631,2.169942019,11.74410357,8.166294741,0.3866448075,0.05167898773,13.70992873,3.840421461,3.627690811,4.98462954
2000,YR2000,Estonia,EST,5686579748,14.049734,-6.950075367,4.12698267,10.08763444,9.556418469,-3.33205628,,,21.98607016,14.17848298,7.038168041,6.52166694,-5.35218709,20.06461617,20.53585583,5.618830229
2000,YR2000,Faroe Islands,FRO,1067115339,,,,,,,,,,,,,,,,
2000,YR2000,Finland,FIN,126019543413,8.450704225,16.10557501,1.861034296,5.773362458,5.553997853,1.279506876,6.21756885,5.997282999,10.77940556,6.218612278,2.101655923,1.889906112,14.86252871,9.599475995,14.20401855,5.128904386
