,country,iso_three,year,Time Code,agric_perc_growth,exports_goods_services,final_consumption_expenditure,gdp_anual_perc,gdp_capita,government_consumption_expenditure,gni_growth,gni_per_capita,gross_capital_formation,gross_fixed_capital_formation,households_expenditure,households_consumption_expenditure_capita_growth,imports_goods_services,industry,manufacturing,services_value_added
60,Afghanistan,AFG,2020,YR2020,5.31187593,,,-1.934778249,-4.168191087,,,,,,,,,-4.219542892,-3.524612798,-4.758449034
121,Albania,ALB,2020,YR2020,0.909585427,-25.64088838,-1.995351065,-3.311239444,-2.750816342,0.8282040148,,,,-1.790981044,,,-19.79198948,-1.028152844,-5.132745421,-8.830195818
182,Algeria,DZA,2020,YR2020,1.600010553,-11.12787799,-3.19923854,-5.480991935,-7.201022374,1.323784139,-5.201185886,-6.926308157,-13.37419415,-15.89607557,-5.499997724,-7.219682301,-19.70000658,-7.25056976,,-5.299996801
243,American Samoa,ASM,2020,YR2020,,,,,,,,,,,,,,,,
304,Andorra,AND,2020,YR2020,,,,-11.95605842,-12.09165965,,,,,,,,,,,
365,Angola,AGO,2020,YR2020,6.878429574,-6.767141118,-8.255825879,-4.04051,-7.079822354,-23.91080831,-2.633285515,-5.717168706,-5.554569448,,-3.960032189,-7.001893506,-23.34224152,-8.383578053,,-1.260605794
426,Antigua and Barbuda,ATG,2020,YR2020,0.4283851741,,,-15.97350964,-16.67109906,,,,,,,,,-17.12996467,-8.0,-16.70905668
487,Argentina,ARG,2020,YR2020,-7.482272469,-17.72380954,-11.70964444,-9.905234856,-10.77497741,-4.709269309,-8.546425826,-9.429285841,-11.20222482,-13.02917029,-13.07794878,-13.9170631,-18.13652119,-9.387760035,-7.742364909,-10.53860843
548,Armenia,ARM,2020,YR2020,-4.0,-31.4,-10.2,-7.6,-7.771688905,15.6,-10.40867235,-10.57514245,-14.0,-8.6,-14.08707167,-14.24670692,-32.1,-2.181885913,-3.4,-9.051640588
609,Aruba,ABW,2020,YR2020,,,,,,,,,,,,,,,,
670,Australia,AUS,2020,YR2020,-7.955971807,-1.857861983,-0.5249269652,-0.2848392978,-1.532086198,6.583148111,,,,-2.795679965,-2.968866228,-4.18254106,-7.348335226,,-1.644936806,0.2609823951
731,Austria,AUT,2020,YR2020,-2.904229492,-10.38308255,-6.500543787,-6.590410425,-6.980978608,1.639722178,,,-5.886623874,-4.876608959,-9.562762701,-9.940902757,-10.23902617,-5.904154722,-7.183804602,-6.614534314
792,Azerbaijan,AZE,2020,YR2020,2.889414237,,,-4.309989133,-5.122379486,,,,,,,,,-6.285813246,8.975468975,-2.968483953
853,"Bahamas, The",BHS,2020,YR2020,,,,-16.27773826,-17.07866579,,,,,,,,,,,
914,Bahrain,BHR,2020,YR2020,0.1685866817,,,-5.814683428,-9.158970861,,,,,,,,,-0.9211374142,-4.495032624,-5.11466296
975,Bangladesh,BGD,2020,YR2020,3.000000834,-16.22666501,2.347960516,2.375521656,1.354056411,-0.3943639747,,,4.250235175,4.250235175,2.599998495,1.576293503,-10.47849756,1.300002479,,3.397797415
1036,Barbados,BRB,2020,YR2020,,,,-17.6053641,-17.70571564,,,,,,,,,,,
1097,Belarus,BLR,2020,YR2020,5.290099343,-3.099999979,-1.444873746,-0.9000000002,-0.6997937412,-1.199999836,-2.535654445,-2.338752608,-8.199999886,-6.899999817,-1.501059794,-1.302067823,-7.200000044,-0.3201207194,0.1000002308,-2.113460819
