,Unnamed: 0,country,year,gdp_anual_perc,gdp_capita,households_expenditure
10736,10736,South Africa,1960,,,
10737,10737,South Africa,1961,3.844751462,1.328133507,2.146309587
10738,10738,South Africa,1962,6.177883095,3.570381246,3.115233872
10739,10739,South Africa,1963,7.373612785,4.70765996,6.450853779
10740,10740,South Africa,1964,7.939781669,5.237069084,8.188885651
10741,10741,South Africa,1965,6.122760827,3.448264246,3.59505757
10742,10742,South Africa,1966,4.438308267,1.794716508,4.670497981
10743,10743,South Africa,1967,7.196575941,4.472366293,4.487507102
10744,10744,South Africa,1968,4.153444814,1.491269224,7.354162796
10745,10745,South Africa,1969,4.715830609,2.017429593,6.962117143
10746,10746,South Africa,1970,5.248674135,2.512715818,6.554408276
10747,10747,South Africa,1971,4.278970429,1.539260575,4.706273841
10748,10748,South Africa,1972,1.654762041,-1.035996917,4.276539608
10749,10749,South Africa,1973,4.571997811,1.810127623,7.580892926
10750,10750,South Africa,1974,6.111054461,3.347482392,5.24518537
10751,10751,South Africa,1975,1.695448177,-0.8984590392,3.630296855
10752,10752,South Africa,1976,2.249904054,-0.2896576708,1.576971956
10753,10753,South Africa,1977,-0.09403753395,-2.523785051,-0.8689205169
10754,10754,South Africa,1978,3.014548966,0.516707782,1.640195702
10755,10755,South Africa,1979,3.790503812,1.223058777,2.475949091
10756,10756,South Africa,1980,6.620585081,3.897099317,8.589584192
10757,10757,South Africa,1981,5.360737419,2.572280588,7.303830853
10758,10758,South Africa,1982,-0.3833907688,-3.083912313,2.097809326
10759,10759,South Africa,1983,-1.846544477,-4.517216827,3.005632067
10760,10760,South Africa,1984,5.09911491,2.300706671,4.595142661
10761,10761,South Africa,1985,-1.211483719,-3.742612367,-3.456566621
10762,10762,South Africa,1986,0.01783477808,-2.421939517,0.1586389024
10763,10763,South Africa,1987,2.100735221,-0.2860529352,3.855350914
10764,10764,South Africa,1988,4.200132549,1.815827812,5.311433833
10765,10765,South Africa,1989,2.394784159,0.03183939503,2.740224913
10766,10766,South Africa,1990,-0.3177856758,-2.675592408,2.87349737
10767,10767,South Africa,1991,-1.018219873,-3.42839609,-0.5172053739
10768,10768,South Africa,1992,-2.137056889,-4.550337866,-1.423236873
10769,10769,South Africa,1993,1.233519913,-1.221455435,1.890738905
10770,10770,South Africa,1994,3.200001049,0.8331846851,4.007268421
10771,10771,South Africa,1995,3.099995418,0.9310412629,5.926613104
10772,10772,South Africa,1996,4.299998961,2.311714047,4.471777772
10773,10773,South Africa,1997,2.600002116,0.8184203223,3.257462728
10774,10774,South Africa,1998,0.5000009052,-1.098535977,1.742504768
10775,10775,South Africa,1999,2.399996245,0.8842882022,1.737723493
10776,10776,South Africa,2000,4.200003476,2.742097831,4.138206371
10777,10777,South Africa,2001,2.699994567,1.339806376,3.49314187
10778,10778,South Africa,2002,3.700382352,2.397938057,3.172595945
10779,10779,South Africa,2003,2.949079137,1.696811795,2.831516333
10780,10780,South Africa,2004,4.554552745,3.289047978,6.240492088
10781,10781,South Africa,2005,5.277056312,3.982030487,6.133506954
10782,10782,South Africa,2006,5.603797657,4.277759517,8.77625659
10783,10783,South Africa,2007,5.360475891,4.00849635,6.517960193
10784,10784,South Africa,2008,3.191046741,1.823500041,1.211036046
10785,10785,South Africa,2009,-1.538089334,-2.898732834,-2.590912921
10786,10786,South Africa,2010,3.039730814,1.551070601,3.934501673
10787,10787,South Africa,2011,3.284168142,1.72152808,5.142606883
10788,10788,South Africa,2012,2.213354808,0.6097132087,3.701823516
10789,10789,South Africa,2013,2.4852005,0.8540809473,1.993938305
10790,10790,South Africa,2014,1.846991604,0.246658179,0.8253260569
10791,10791,South Africa,2015,1.193732801,-0.3449823266,1.932677594
10792,10792,South Africa,2016,0.3990879296,-1.067896803,0.5814991662
10793,10793,South Africa,2017,1.414512626,-0.01234474468,2.060408617
10794,10794,South Africa,2018,0.7870555705,-0.578051587,1.815433789
10795,10795,South Africa,2019,0.1525833167,-1.157078737,1.045722785
10796,10796,South Africa,2020,-6.959604452,-8.136829118,-5.432788137
