party_name,ward_valid_votes,ward_valid_votes_perc,provincial_valid_votes,provincial_valid_votes_perc,combined_total,combined_total_perc,total_valid_votes,total_valid_votes_perc,overal_valid_votes,overal_valid_votes
ABAHLALI BASE MKHANYAKUDE MOVEMENT,"1,042",0.01%,"1,113",0.01%,"2,155",0.01%,"1,197",0.02%,"3,352",0.01%
ABAHLALY BAAHI,202,0.00%,419,0.00%,621,0.00%,-,-,621,0.00%
ABANTU BATHO CONGRESS,"39,010",0.33%,"39,206",0.33%,"78,216",0.33%,"31,253",0.44%,"109,469",0.36%
ABANTU INTEGRITY MOVEMENT,"2,758",0.02%,"2,914",0.02%,"5,672",0.02%,-,-,"5,672",0.02%
ABLE LEADERSHIP,"3,368",0.03%,"3,957",0.03%,"7,325",0.03%,"3,404",0.05%,"10,729",0.04%
ACADEMIC CONGRESS UNION,"1,471",0.01%,"3,938",0.03%,"5,409",0.02%,"3,903",0.05%,"9,312",0.03%
ACTIONSA,"241,735",2.06%,"306,127",2.61%,"547,862",2.34%,"8,816",0.12%,"556,678",1.82%
ACTIVE CITIZENS COALITION,"8,024",0.07%,"6,239",0.05%,"14,263",0.06%,-,-,"14,263",0.05%
ACTIVE MOVEMENT FOR CHANGE,339,0.00%,149,0.00%,488,0.00%,-,-,488,0.00%
ACTIVE NATION AGAINST CORRUPTION,334,0.00%,179,0.00%,513,0.00%,326,0.00%,839,0.00%
ACTIVE UNITED FRONT,"2,004",0.02%,"1,983",0.02%,"3,987",0.02%,"2,007",0.03%,"5,994",0.02%
ACTIVISTS MOVEMENT OF SOUTH AFRICA,"1,939",0.02%,"1,988",0.02%,"3,927",0.02%,789,0.01%,"4,716",0.02%
ADVANCED DYNAMIC ALLIANCE,484,0.00%,481,0.00%,965,0.00%,-,-,965,0.00%
ADVIESKANTOOR,857,0.01%,824,0.01%,"1,681",0.01%,-,-,"1,681",0.01%
AFRICA RESTORATION ALLIANCE,"12,777",0.11%,"9,999",0.09%,"22,776",0.10%,"3,264",0.05%,"26,040",0.09%
AFRICAN AMBASSADORS OF SOUTH AFRICA,849,0.01%,703,0.01%,"1,552",0.01%,-,-,"1,552",0.01%
AFRICAN BASIC REPUBLICANS,0,0.00%,272,0.00%,272,0.00%,-,-,272,0.00%
