year,year_code,country,country_code,gdp_current,agriculture,exports,final_exp,gdp_growth,gdp_per_capita,gov_exp,gni_growth_capita,gni_growth,gross_capital_formation,gross_fixed_capital_formation,Households and NPISHs Final consumption expenditure (annual % growth) [NE.CON.PRVT.KD.ZG],Households and NPISHs Final consumption expenditure per capita growth (annual %) [NE.CON.PRVT.PC.KD.ZG],imports,industry,manufacturing,services
1960,YR1960,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,
1960,YR1960,Argentina,ARG,,,,,,,,,,,,,,,,,
1960,YR1960,Aruba,ABW,,,,,,,,,,,,,,,,,
1960,YR1960,"Bahamas, The",BHS,169803921.6,,,,,,,,,,,,,,,,
1960,YR1960,Barbados,BRB,,,,,,,,,,,,,,,,,
1960,YR1960,Belize,BLZ,28071888.56,,,,,,,,,,,,,,,,
1960,YR1960,Bolivia,BOL,373879363.6,,,,,,,,,,,,,,,,
1960,YR1960,Brazil,BRA,17030465539,,,,,,,,,,,,,,,,
1960,YR1960,British Virgin Islands,VGB,,,,,,,,,,,,,,,,,
1960,YR1960,Cayman Islands,CYM,,,,,,,,,,,,,,,,,
1960,YR1960,Chile,CHL,4110000000,,,,,,,,,,,,,,,,
1960,YR1960,Colombia,COL,4031152977,,,,,,,,,,,,,,,,
1960,YR1960,Costa Rica,CRI,507513830,,,,,,,,,,,,,,,,
1960,YR1960,Cuba,CUB,,,,,,,,,,,,,,,,,
1960,YR1960,Curacao,CUW,,,,,,,,,,,,,,,,,
1960,YR1960,Dominica,DMA,,,,,,,,,,,,,,,,,
1960,YR1960,Dominican Republic,DOM,672399700,,,,,,,,,,,,,,,,
1960,YR1960,Ecuador,ECU,2069465326,,,,,,,,,,,,,,,,
1960,YR1960,El Salvador,SLV,,,,,,,,,,,,,,,,,
1960,YR1960,Grenada,GRD,,,,,,,,,,,,,,,,,
1960,YR1960,Guatemala,GTM,1043599900,,,,,,,,,,,,,,,,
1960,YR1960,Guyana,GUY,170215248.2,,,,,,,,,,,,,,,,
1960,YR1960,Haiti,HTI,273187200,,,,,,,,,,,,,,,,
1960,YR1960,Honduras,HND,335650000,,,,,,,,,,,,,,,,
1960,YR1960,Jamaica,JAM,699050679,,,,,,,,,,,,,,,,
1960,YR1960,Mexico,MEX,13040000000,,,,,,,,,,,,,,,,
1960,YR1960,Nicaragua,NIC,223854666.7,,,,,,,,,,,,,,,,
1960,YR1960,Panama,PAN,537147100,,,,,,,,,,,,,,,,
1960,YR1960,Paraguay,PRY,,,,,,,,,,,,,,,,,
1960,YR1960,Peru,PER,2571908062,,,,,,,,,,,,,,,,
1960,YR1960,Puerto Rico,PRI,1691900000,,,,,,,,,,,,,,,,
1960,YR1960,Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,
1960,YR1960,St. Kitts and Nevis,KNA,12366563.61,,,,,,,,,,,,,,,,
1960,YR1960,St. Lucia,LCA,,,,,,,,,,,,,,,,,
1960,YR1960,St. Martin (French part),MAF,,,,,,,,,,,,,,,,,
1960,YR1960,St. Vincent and the Grenadines,VCT,13066557.78,,,,,,,,,,,,,,,,
1960,YR1960,Suriname,SUR,99650000,,,,,,,,,,,,,,,,
1960,YR1960,Trinidad and Tobago,TTO,535670127.7,,,,,,,,,,,,,,,,
1960,YR1960,Turks and Caicos Islands,TCA,,,,,,,,,,,,,,,,,
1960,YR1960,Uruguay,URY,1242289239,,,,,,,,,,,,,,,,
1960,YR1960,"Venezuela, RB",VEN,7779090909,,,,,,,,,,,,,,,,
1960,YR1960,Virgin Islands (U.S.),VIR,,,,,,,,,,,,,,,,,
1961,YR1961,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,
1961,YR1961,Argentina,ARG,,,-10.63859174,9.710620935,5.427842876,3.740902814,,5.653577245,3.96302523,9.677371587,14.16661555,,,18.17689285,,,
1961,YR1961,Aruba,ABW,,,,,,,,,,,,,,,,,
1961,YR1961,"Bahamas, The",BHS,190098039.2,,,,10.66709743,5.405126233,,,,,,,,,,,
1961,YR1961,Barbados,BRB,,,,,,,,,,,,,,,,,
