country,Country Code,year,Time Code,customs_and_other_import_duties_perc_tax_revenue,customs_and_other_import_duties_currentLCU,grants_and_other_revenue_perc_revenue,grants_and_other_revenue_currentLCU,other_taxes_perc_revenue,other_taxes_currentLCU,revenue_excluding_grants_percGDP,revenue_excluding_grants_currentLCU,social_contributions_perc_revenue,social_contributions_currentLCU,tax_revenue_percGDP,tax_revenue_currentLCU,taxes_on_exports_perc_revenue,taxes_on_exports_currentLCU,taxes_on_goods_and_services_perc_revenue,taxes_on_goods_and_services_perc_value_added_of_industry_and_services,taxes_on_goods_and_services_currentLCU,taxes_on_income_profits_and_capital_gains_perc_revenue,taxes_on_income_profits_and_capital_gains_perc_total_taxes,taxes_on_income_profits_and_capital_gains_currentLCU,taxes_on_international_trade_perc_revenue,taxes_on_international_trade_current_LCU
Afghanistan,AFG,1960,YR1960,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1961,YR1961,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1962,YR1962,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1963,YR1963,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1964,YR1964,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1965,YR1965,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1966,YR1966,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1967,YR1967,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1968,YR1968,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1969,YR1969,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1970,YR1970,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1971,YR1971,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1972,YR1972,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1973,YR1973,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1974,YR1974,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1975,YR1975,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1976,YR1976,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1977,YR1977,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1978,YR1978,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1979,YR1979,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1980,YR1980,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1981,YR1981,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1982,YR1982,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1983,YR1983,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1984,YR1984,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1985,YR1985,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1986,YR1986,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1987,YR1987,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1988,YR1988,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1989,YR1989,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1990,YR1990,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1991,YR1991,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1992,YR1992,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1993,YR1993,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1994,YR1994,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1995,YR1995,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1996,YR1996,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1997,YR1997,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1998,YR1998,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1999,YR1999,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2000,YR2000,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2001,YR2001,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2002,YR2002,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2003,YR2003,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2004,YR2004,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2005,YR2005,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2006,YR2006,47.58045413,11538551413,76.19533409,78766577457,2.29583729,2373311278,8.9675335,31211357279,0.3456867628,357352107,6.967597575,24250612199,0.1007340301,24428619,5.758616984,2.513717093,5952943919,4.219004888,17.98460564,4361376970,11.18551999,11562980032
Afghanistan,AFG,2007,YR2007,51.26926419,13148979574,83.23912278,129348473017,0.09511604938,147804485.9,7.00919125,34023950013,0.2564234782,398466301,5.283456604,25646905182,0.01366491581,3504628,4.312935694,2.055274532,6702036585,3.632434687,22.00881498,5644579909,8.463967311,13152484202
Afghanistan,AFG,2008,YR2008,45.68095033,14323660370,92.91623142,421151625723,0.07509184481,340360904,8.052705822,41475208370,0.1659050557,751980390,6.08796493,31355872126,0.01940976789,6086102,1.780590429,2.166571315,8070694888,1.90069271,27.47514031,8615069861,3.161488542,14329746472
Afghanistan,AFG,2009,YR2009,41.99490874,21787902041,88.25339265,397117336453,0.1662127333,747914113.6,10.57508247,64686944779,0.2165564062,974447561,8.481758361,51882246429,0.01739585431,9025360,2.999526964,3.286365948,13497091986,3.520272797,30.53127808,15840312929,4.844041335,21796927401
Afghanistan,AFG,2010,YR2010,41.57298152,27684941828,88.78279105,540143050736,0.3619552504,2202089063,11.09194916,80553186895,0.2712845593,1650460272,9.169751919,66593592311,0.02947038945,19625391,3.030144117,3.624760815,18435006021,2.998966265,27.39801737,18245323987,4.554858755,27711173240
Afghanistan,AFG,2011,YR2011,40.11779461,30418802166,90.15175299,719137628071,0.3549035384,2831054087,11.51016072,97876338034,0.3429165421,2735434204,8.916793996,75823714798,0.1683412272,127642572,2.622424855,3.396125047,20918998549,2.697366562,28.37740961,21516806132,3.830635513,30556856029
Afghanistan,AFG,2012,YR2012,36.41740275,28878056115,88.01647195,605328042090,0.4623935541,3180084121,10.20062464,104943436736,0.4534525843,3118593133,7.707800603,79297407099,0.2075455037,164578203,3.119213993,2.906692161,21452208403,3.723815707,32.29654235,25610320670,4.224652213,29054793905
Afghanistan,AFG,2013,YR2013,34.81926895,28243594175,88.93533441,679941758945,0.753307773,5759301582,9.405609332,107112000000,0.4549655912,3478371183,7.12277329,81114839641,0.07154764067,58035754,2.53572313,2.327920705,19386490829,3.617021956,34.09166428,27653398808,3.703643185,28315648421
Afghanistan,AFG,2014,YR2014,31.76700282,25720421026,87.50377723,593986733114,0.6949397534,4717339147,8.613730505,101337910976,0.5686551476,3860103233,6.882102943,80965841103,0.114029084,92324607,2.550026172,1.982393541,17309900936,4.876052454,40.88052661,33099262219,3.806549238,25839338801
Afghanistan,AFG,2015,YR2015,32.5510719,30191364998,85.43192291,566753146022,0.7573373851,5024156439,10.13111817,123878905460,0.5869012978,3893487886,7.585382331,92750755157,0.1072595547,99484047,2.654241076,1.910896136,17608165999,5.998665108,42.90529779,39794987704,4.570932222,30323445014
Afghanistan,AFG,2016,YR2016,26.37220275,30647016829,81.02652168,513783524064,0.9208673723,5839155796,12.6780099,155041523311,0.6465861954,4099957979,9.502652783,116209545034,8.446830089,9816022816,7.055293341,5.264397211,44737123118,3.969484823,21.65934517,25170226475,6.381246586,40463039645
