year,year_code,country,country_code,gdp_current,agriculture,exports,final_exp,gdp_growth,gdp_per_capita,gov_exp,gni_growth_capita,gni_growth,gross_capital_formation,gross_fixed_capital_formation,Households and NPISHs Final consumption expenditure (annual % growth) [NE.CON.PRVT.KD.ZG],Households and NPISHs Final consumption expenditure per capita growth (annual %) [NE.CON.PRVT.PC.KD.ZG],imports,industry,manufacturing,services
1960,YR1960,Afghanistan,AFG,537777811.1,,,,,,,,,,,,,,,,
1960,YR1960,Bangladesh,BGD,4274893913,,,,,,,,,,,,,,,,
1960,YR1960,Bhutan,BTN,,,,,,,,,,,,,,,,,
1960,YR1960,India,IND,37029883876,,,,,,,,,,,,,,,,
1960,YR1960,Maldives,MDV,,,,,,,,,,,,,,,,,
1960,YR1960,Nepal,NPL,508334414,,,,,,,,,,,,,,,,
1960,YR1960,Pakistan,PAK,3749265015,,,,,,,,,,,,,,,,
1960,YR1960,Sri Lanka,LKA,1409873950,,,,,,,,,,,,,,,,
1961,YR1961,Afghanistan,AFG,548888895.6,,,,,,,,,,,,,,,,
1961,YR1961,Bangladesh,BGD,4817580184,5.208136666,-11.50110565,8.94927094,6.058160825,3.019801659,,,,18.76493998,,8.949271935,5.828088082,32.31387339,2.033753924,8.229667505,0.6293599411
1961,YR1961,Bhutan,BTN,,,,,,,,,,,,,,,,,
1961,YR1961,India,IND,39232435784,0.08420744503,-0.1858732123,2.068120621,3.722742533,1.359574512,7.623263789,3.624445582,1.263517111,-1.043265901,13.23412749,1.704835865,-0.6123571621,-9.755901107,6.712676594,8.539505188,4.901664641
1961,YR1961,Maldives,MDV,,,,,,,,,,,,,,,,,
1961,YR1961,Nepal,NPL,531959561.6,,,,1.908265972,-0.03059911044,,,,,,,,,,,
1961,YR1961,Pakistan,PAK,4118647627,-0.2017683794,2.993079102,,5.987346419,3.494937795,-1.094078152,,,60.03190291,52.05409139,,,4.930637836,17.8324406,12.77810655,5.883612879
1961,YR1961,Sri Lanka,LKA,1444327731,7.626580239,3.890403244,-5.191855347,,,1.287192627,,,21.99777687,0.4825539276,-6.335653379,-8.532499749,-9.884266864,0.6861150854,,-0.8870610218
1962,YR1962,Afghanistan,AFG,546666677.8,,,,,,,,,,,,,,,,
1962,YR1962,Bangladesh,BGD,5081413340,5.246177198,20.79654364,-1.743946014,5.45303097,2.338669316,,,,61.88863623,,-1.743950929,-4.645762936,-0.7703344922,26.64647817,7.004629417,0.6389849202
1962,YR1962,Bhutan,BTN,,,,,,,,,,,,,,,,,
1962,YR1962,India,IND,42161481858,-1.989098825,-0.5798312399,2.555346418,2.931127735,0.578972021,20.65604949,2.903355068,0.5518340069,14.19693355,6.569920264,1.302747832,-1.012196563,3.909215401,7.072027924,7.279411765,5.390814772
1962,YR1962,Maldives,MDV,,,,,,,,,,,,,,,,,
1962,YR1962,Nepal,NPL,574091101.2,,,,1.910320031,-0.07156164208,,,,,,,,,,,
1962,YR1962,Pakistan,PAK,4310163797,6.181424042,3.076538524,,4.482858627,2.094496945,8.758123128,,,10.04263551,14.86236042,,,0.7963340274,9.325792912,13.17651692,0.542188598
