year,year_code,country,country_code,gdp_current,agriculture,exports,final_exp,gdp_growth,gdp_per_capita,gov_exp,gni_growth_capita,gni_growth,gross_capital_formation,gross_fixed_capital_formation,Households and NPISHs Final consumption expenditure (annual % growth) [NE.CON.PRVT.KD.ZG],Households and NPISHs Final consumption expenditure per capita growth (annual %) [NE.CON.PRVT.PC.KD.ZG],imports,industry,manufacturing,services
1960,YR1960,Angola,AGO,,,,,,,,,,,,,,,,,
1960,YR1960,Benin,BEN,226195579.4,,,,,,,,,,,,,,,,
1960,YR1960,Botswana,BWA,30412308.99,,,,,,,,,,,,,,,,
1960,YR1960,Burkina Faso,BFA,330442817.2,,,,,,,,,,,,,,,,
1960,YR1960,Burundi,BDI,195999990,,,,,,,,,,,,,,,,
1960,YR1960,Cabo Verde,CPV,,,,,,,,,,,,,,,,,
1960,YR1960,Cameroon,CMR,614206071,,,,,,,,,,,,,,,,
1960,YR1960,Central African Republic,CAF,112155598.9,,,,,,,,,,,,,,,,
1960,YR1960,Chad,TCD,313582729.4,,,,,,,,,,,,,,,,
1960,YR1960,Comoros,COM,,,,,,,,,,,,,,,,,
1960,YR1960,"Congo, Dem. Rep.",COD,3359404118,,,,,,,,,,,,,,,,
1960,YR1960,"Congo, Rep.",COG,131731862.6,,,,,,,,,,,,,,,,
1960,YR1960,Cote d'Ivoire,CIV,546203561.6,,,,,,,,,,,,,,,,
1960,YR1960,Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,
1960,YR1960,Eritrea,ERI,,,,,,,,,,,,,,,,,
1960,YR1960,Eswatini,SWZ,35076158.48,,,,,,,,,,,,,,,,
1960,YR1960,Ethiopia,ETH,,,,,,,,,,,,,,,,,
1960,YR1960,Gabon,GAB,141468978.4,,,,,,,,,,,,,,,,
1960,YR1960,"Gambia, The",GMB,,,,,,,,,,,,,,,,,
1960,YR1960,Ghana,GHA,1217086835,,,,,,,,,,,,,,,,
1960,YR1960,Guinea,GIN,,,,,,,,,,,,,,,,,
1960,YR1960,Guinea-Bissau,GNB,,,,,,,,,,,,,,,,,
1960,YR1960,Kenya,KEN,791265458.8,,,,,,,,,,,,,,,,
1960,YR1960,Lesotho,LSO,34579308.41,,,,,,,,,,,,,,,,
1960,YR1960,Liberia,LBR,,,,,,,,,,,,,,,,,
1960,YR1960,Madagascar,MDG,673081724.1,,,,,,,,,,,,,,,,
1960,YR1960,Malawi,MWI,162956740.9,,,,,,,,,,,,,,,,
1960,YR1960,Mali,MLI,,,,,,,,,,,,,,,,,
1960,YR1960,Mauritania,MRT,,,,,,,,,,,,,,,,,
1960,YR1960,Mauritius,MUS,,,,,,,,,,,,,,,,,
1960,YR1960,Mozambique,MOZ,,,,,,,,,,,,,,,,,
1960,YR1960,Namibia,NAM,,,,,,,,,,,,,,,,,
1960,YR1960,Niger,NER,449526872.6,,,,,,,,,,,,,,,,
1960,YR1960,Nigeria,NGA,4196092258,,,,,,,,,,,,,,,,
1960,YR1960,Rwanda,RWA,119000024,,,,,,,,,,,,,,,,
1960,YR1960,Sao Tome and Principe,STP,,,,,,,,,,,,,,,,,
1960,YR1960,Senegal,SEN,1003692375,,,,,,,,,,,,,,,,
1960,YR1960,Seychelles,SYC,12012012.01,,,,,,,,,,,,,,,,
1960,YR1960,Sierra Leone,SLE,322009471.6,,,,,,,,,,,,,,,,
1960,YR1960,Somalia,SOM,180459936.8,,,,,,,,,,,,,,,,
1960,YR1960,South Africa,ZAF,8748596504,,,,,,,,,,,,,,,,
1960,YR1960,South Sudan,SSD,,,,,,,,,,,,,,,,,
1960,YR1960,Sudan,SDN,1307333333,,,,,,,,,,,,,,,,
1960,YR1960,Tanzania,TZA,,,,,,,,,,,,,,,,,
1960,YR1960,Togo,TGO,121128073.1,,,,,,,,,,,,,,,,
1960,YR1960,Uganda,UGA,423008385.7,,,,,,,,,,,,,,,,
1960,YR1960,Zambia,ZMB,713000000,,,,,,,,,,,,,,,,
1960,YR1960,Zimbabwe,ZWE,1052990400,,,,,,,,,,,,,,,,
1961,YR1961,Angola,AGO,,,,,,,,,,,,,,,,,
1961,YR1961,Benin,BEN,235668222.4,,-21.69824816,1.966897707,3.141280456,1.567326573,3.252213205,3.150981114,1.576879197,-0.8767465562,,1.658978138,0.1076444462,-19.01826593,,,
1961,YR1961,Botswana,BWA,32902336.64,2.463061952,,,6.34328372,4.003501515,,,,,,,,,-2.162180809,,10.12219865
1961,YR1961,Burkina Faso,BFA,350247237.1,,,,4.043927978,2.552273052,,,,,,,,,,,
1961,YR1961,Burundi,BDI,202999992,,,,-13.74613505,-15.8701576,,,,,,,,,,,
1961,YR1961,Cabo Verde,CPV,,,,,,,,,,,,,,,,,
1961,YR1961,Cameroon,CMR,652777613.6,,-4.260246527,1.50406969,1.183680811,-0.4263335123,3.246750019,,,2.710024946,,1.35359284,-0.2591250897,-1.883709412,,,
1961,YR1961,Central African Republic,CAF,123134584.5,,,,4.953553798,3.073628195,,,,,,,,,,,
1961,YR1961,Chad,TCD,333975338.8,,1.680705372,,1.397743671,-0.5387808676,,,,,,,,18.54305782,,,
1961,YR1961,Comoros,COM,,,,,,,,,,,,,,,,,
1961,YR1961,"Congo, Dem. Rep.",COD,3086746857,,-9.75525758,,-10.85137608,-13.10792787,,,,,,,,14.31020683,,,
1961,YR1961,"Congo, Rep.",COG,151675739.2,-3.571387899,7.50000109,-0.4329019587,8.350726724,5.576731465,2.98507586,7.959106553,5.195137553,36.9942222,,-1.012658985,-3.546932848,11.23188373,13.8758354,,12.38804204
1961,YR1961,Cote d'Ivoire,CIV,618245639.2,,,,9.932555156,5.942563211,,,,,,,,,,,
1961,YR1961,Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,
1961,YR1961,Eritrea,ERI,,,,,,,,,,,,,,,,,
1961,YR1961,Eswatini,SWZ,43025199.5,,5.323193383,,,,,,,,,,,22.72726009,,,
1961,YR1961,Ethiopia,ETH,,,,,,,,,,,,,,,,,
1961,YR1961,Gabon,GAB,167637908.5,,8.264464241,11.3074135,14.76684319,13.4433303,21.87499719,,,25.14284981,,8.219182496,6.971178468,15.02590597,,,
1961,YR1961,"Gambia, The",GMB,,,,,,,,,,,,,,,,,
1961,YR1961,Ghana,GHA,1302521008,,,,3.429674015,0.5559586617,,,,,,,,,,,
1961,YR1961,Guinea,GIN,,,,,,,,,,,,,,,,,
1961,YR1961,Guinea-Bissau,GNB,,,,,,,,,,,,,,,,,
1961,YR1961,Kenya,KEN,792959472.1,,10.54625364,1.912353466,-7.774634904,-11.16724599,6.784150574,,,-35.18790944,,1.246402557,-2.478057277,1.946966767,,,
1961,YR1961,Lesotho,LSO,35699286.01,,10.34326287,6.818339959,1.864795166,-1.221960014,31.70756001,,,100.0152835,,2.996361697,-0.1246827464,22.10504919,,,
1961,YR1961,Liberia,LBR,,,,,,,,,,,,,,,,,
1961,YR1961,Madagascar,MDG,699161943.9,,74.31839888,0.4191558507,2.048632751,-0.5563105005,16.612037,2.117372139,-0.4893257874,-13.33296109,,-0.7819010605,-3.314590723,22.84121684,,,
1961,YR1961,Malawi,MWI,174576508.5,,,,7.639597856,5.110953676,,,,,,,,,,,7.639597855
1961,YR1961,Mali,MLI,,,,,,,,,,,,,,,,,
1961,YR1961,Mauritania,MRT,159213140,,,,,,,,,,,,,,,,
1961,YR1961,Mauritius,MUS,,,,,,,,,,,,,,,,,
1961,YR1961,Mozambique,MOZ,,,,,,,,,,,,,,,,,
1961,YR1961,Namibia,NAM,,,,,,,,,,,,,,,,,
1961,YR1961,Niger,NER,485785234.9,,,,4.546393037,1.496391687,,,,,,,,,,,
1961,YR1961,Nigeria,NGA,4467200336,,,,0.1917954896,-1.834009744,,,,,,,,,,,
