year,year_code,country,country_code,gdp_current,agriculture,exports,final_exp,gdp_growth,gdp_per_capita,gov_exp,gni_growth_capita,gni_growth,gross_capital_formation,gross_fixed_capital_formation,Households and NPISHs Final consumption expenditure (annual % growth) [NE.CON.PRVT.KD.ZG],Households and NPISHs Final consumption expenditure per capita growth (annual %) [NE.CON.PRVT.PC.KD.ZG],imports,industry,manufacturing,services
1960,YR1960,American Samoa,ASM,,,,,,,,,,,,,,,,,
1960,YR1960,Australia,AUS,18605666928,,,,,,,,,,,,,,,,
1960,YR1960,Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,
1960,YR1960,Cambodia,KHM,637142865.7,,,,,,,,,,,,,,,,
1960,YR1960,China,CHN,59716467625,,,,,,,,,,,,,,,,
1960,YR1960,Fiji,FJI,112328422.1,,,,,,,,,,,,,,,,
1960,YR1960,French Polynesia,PYF,,,,,,,,,,,,,,,,,
1960,YR1960,Guam,GUM,,,,,,,,,,,,,,,,,
1960,YR1960,"Hong Kong SAR, China",HKG,1320796652,,,,,,,,,,,,,,,,
1960,YR1960,Indonesia,IDN,,,,,,,,,,,,,,,,,
1960,YR1960,Japan,JPN,44307342950,,,,,,,,,,,,,,,,
1960,YR1960,Kiribati,KIR,,,,,,,,,,,,,,,,,
1960,YR1960,"Korea, Dem. People's Rep.",PRK,,,,,,,,,,,,,,,,,
1960,YR1960,"Korea, Rep.",KOR,3958824424,,,,,,,,,,,,,,,,
1960,YR1960,Lao PDR,LAO,,,,,,,,,,,,,,,,,
1960,YR1960,"Macao SAR, China",MAC,,,,,,,,,,,,,,,,,
1960,YR1960,Malaysia,MYS,1916241997,,,,,,,,,,,,,,,,
1960,YR1960,Marshall Islands,MHL,,,,,,,,,,,,,,,,,
1960,YR1960,"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,
1960,YR1960,Mongolia,MNG,,,,,,,,,,,,,,,,,
1960,YR1960,Myanmar,MMR,,,,,,,,,,,,,,,,,
1960,YR1960,Nauru,NRU,,,,,,,,,,,,,,,,,
1960,YR1960,New Caledonia,NCL,,,,,,,,,,,,,,,,,
1960,YR1960,New Zealand,NZL,5485854792,,,,,,,,,,,,,,,,
1960,YR1960,Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,
1960,YR1960,Palau,PLW,,,,,,,,,,,,,,,,,
1960,YR1960,Papua New Guinea,PNG,230496033,,,,,,,,,,,,,,,,
1960,YR1960,Philippines,PHL,7515886651,,,,,,,,,,,,,,,,
1960,YR1960,Samoa,WSM,,,,,,,,,,,,,,,,,
1960,YR1960,Singapore,SGP,704756304.7,,,,,,,,,,,,,,,,
1960,YR1960,Solomon Islands,SLB,,,,,,,,,,,,,,,,,
1960,YR1960,Thailand,THA,2760747472,,,,,,,,,,,,,,,,
1960,YR1960,Timor-Leste,TLS,,,,,,,,,,,,,,,,,
1960,YR1960,Tonga,TON,,,,,,,,,,,,,,,,,
1960,YR1960,Tuvalu,TUV,,,,,,,,,,,,,,,,,
1960,YR1960,Vanuatu,VUT,,,,,,,,,,,,,,,,,
1960,YR1960,Vietnam,VNM,,,,,,,,,,,,,,,,,
1961,YR1961,American Samoa,ASM,,,,,,,,,,,,,,,,,
1961,YR1961,Australia,AUS,19681935267,,4.989734892,2.447881569,2.482656077,0.4636705217,3.66976799,,,,5.675337321,2.213091726,0.1994167915,12.5152874,,,
1961,YR1961,Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,
1961,YR1961,Cambodia,KHM,642857134.3,,,,,,,,,,,,,,,,
1961,YR1961,China,CHN,50056868958,1.400000006,,,-27.27,-26.52764361,,,,,,,,,-41.90000001,,
1961,YR1961,Fiji,FJI,116987784.9,,,,3.517582003,0.3478814032,,,,,,,,,,,
1961,YR1961,French Polynesia,PYF,,,,,,,,,,,,,,,,,
1961,YR1961,Guam,GUM,,,,,,,,,,,,,,,,,
1961,YR1961,"Hong Kong SAR, China",HKG,1383681651,,,,,,,,,,,,,,,,
1961,YR1961,Indonesia,IDN,,1.663498096,9.038461543,5.716696211,5.740645823,2.906606658,-6.87361419,,,43.43793241,43.64820847,7.835581244,4.945394048,34.69387755,11.78571429,12.26993865,9.935379649
1961,YR1961,Japan,JPN,53508617739,,,,12.04353641,11.04407304,,,,,,,,,,,
1961,YR1961,Kiribati,KIR,,,,,,,,,,,,,,,,,
1961,YR1961,"Korea, Dem. People's Rep.",PRK,,,,,,,,,,,,,,,,,
1961,YR1961,"Korea, Rep.",KOR,2417638423,14.90460801,35.4618016,2.093832103,6.935992652,3.809554762,0.7165124698,7.353273457,4.214635722,27.65853005,6.726457399,2.324002769,-0.6675965177,-8.639718805,6.29963261,5.410000773,0.9954954695
1961,YR1961,Lao PDR,LAO,,,,,,,,,,,,,,,,,
1961,YR1961,"Macao SAR, China",MAC,,,,,,,,,,,,,,,,,
1961,YR1961,Malaysia,MYS,1901868548,,5.534501377,6.553268513,7.597994,4.386326188,7.719057067,9.187368124,5.928259449,9.528589583,20.80247726,6.336482859,3.162469603,4.585943318,,,
1961,YR1961,Marshall Islands,MHL,,,,,,,,,,,,,,,,,
1961,YR1961,"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,
1961,YR1961,Mongolia,MNG,,,,,,,,,,,,,,,,,
1961,YR1961,Myanmar,MMR,584351384.5,,,,,,,,,,,,,,,,
1961,YR1961,Nauru,NRU,,,,,,,,,,,,,,,,,
1961,YR1961,New Caledonia,NCL,,,,,,,,,,,,,,,,,
1961,YR1961,New Zealand,NZL,5670064168,,,,,,,,,,,,,,,,
1961,YR1961,Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,
1961,YR1961,Palau,PLW,,,,,,,,,,,,,,,,,
1961,YR1961,Papua New Guinea,PNG,244832035,,,,6.181111721,3.572787456,,,,3.993064479,3.993037755,,,,,,
1961,YR1961,Philippines,PHL,8171186335,6.829665675,3.308351757,4.987271199,5.69547095,2.613696136,5.896385416,,,16.10139333,,4.900649227,1.84204912,1.808370439,5.472326217,,5.268475161
1961,YR1961,Samoa,WSM,,,,,,,,,,,,,,,,,
1961,YR1961,Singapore,SGP,764634783.7,1.912144703,-5.438408271,,8.137529508,4.580373932,22.62917933,,,,44.05594406,9.561363113,5.957370905,-3.494947622,,5.346806632,
1961,YR1961,Solomon Islands,SLB,,,,,,,,,,,,,,,,,
1961,YR1961,Thailand,THA,3034043574,3.015839308,20.8786771,,5.362146302,2.272881702,3.030943476,,,,6.451641542,3.047465242,0.02606811196,5.715028755,,10.25647916,
1961,YR1961,Timor-Leste,TLS,,,,,,,,,,,,,,,,,
1961,YR1961,Tonga,TON,,,,,,,,,,,,,,,,,
1961,YR1961,Tuvalu,TUV,,,,,,,,,,,,,,,,,
1961,YR1961,Vanuatu,VUT,,,,,,,,,,,,,,,,,
1961,YR1961,Vietnam,VNM,,,,,,,,,,,,,,,,,
1962,YR1962,American Samoa,ASM,,,,,,,,,,,,,,,,,
1962,YR1962,Australia,AUS,19921603763,,13.54361503,2.729764297,1.29461125,-1.147699708,3.864767228,,,,1.774823395,2.507369564,0.03581783077,-14.25724638,,,
1962,YR1962,Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,
1962,YR1962,Cambodia,KHM,660000008.6,,,,,,,,,,,,,,,,
1962,YR1962,China,CHN,47209359006,4.499999995,,,-5.57999999,-6.351504864,,,,,,,,,-10.59999997,,
1962,YR1962,Fiji,FJI,122906435,,,,3.606102146,0.4179425687,,,,,,,,,,,
1962,YR1962,French Polynesia,PYF,,,,,,,,,,,,,,,,,
1962,YR1962,Guam,GUM,,,,,,,,,,,,,,,,,
1962,YR1962,"Hong Kong SAR, China",HKG,1612346412,,10.14792441,10.23149366,14.29152643,9.550703398,4.461356777,,,,34.7865676,10.71796234,6.12537108,15.6139115,,,
1962,YR1962,Indonesia,IDN,,3.272557269,-8.641975313,3.606676161,1.841977702,-0.9167269479,-19.52380952,,,-8.932334214,-9.070294785,6.968433594,4.070863046,-1.969696969,-0.3194888169,1.366120219,0.5878030831
1962,YR1962,Japan,JPN,60723018684,,,,8.908972996,7.901714421,,,,,,,,,,,
1962,YR1962,Kiribati,KIR,,,,,,,,,,,,,,,,,
1962,YR1962,"Korea, Dem. People's Rep.",PRK,,,,,,,,,,,,,,,,,
1962,YR1962,"Korea, Rep.",KOR,2814626210,-6.333072713,15.61447811,8.967251445,3.895272531,0.9666423745,4.053817928,3.797060319,0.8711985971,-4.061942881,29.55550641,9.7450025,6.651478454,35.16466605,16.54185175,15.21372535,7.565659854
1962,YR1962,Lao PDR,LAO,,,,,,,,,,,,,,,,,
1962,YR1962,"Macao SAR, China",MAC,,,,,,,,,,,,,,,,,
1962,YR1962,Malaysia,MYS,2001502679,,4.807247626,5.014325791,6.421029609,3.232407175,5.745638815,7.54396709,4.321698828,20.05494532,14.40980976,4.876562493,1.734215899,7.318611242,,,
1962,YR1962,Marshall Islands,MHL,,,,,,,,,,,,,,,,,
